FID	IID	SEX
HG01676	HG01676	2
HG01678	HG01678	1
HG01679	HG01679	2
HG01680	HG01680	1
HG01682	HG01682	1
HG01684	HG01684	2
HG01685	HG01685	2
HG01686	HG01686	1
HG01694	HG01694	1
HG01695	HG01695	2
HG01697	HG01697	2
HG01699	HG01699	1
HG01700	HG01700	1
HG01702	HG01702	2
HG01704	HG01704	2
HG01705	HG01705	1
HG01707	HG01707	2
HG01708	HG01708	1
HG01709	HG01709	1
HG01710	HG01710	2
HG01746	HG01746	2
HG01747	HG01747	1
HG01756	HG01756	1
HG01757	HG01757	2
HG01761	HG01761	1
HG01762	HG01762	2
HG01765	HG01765	1
HG01766	HG01766	2
HG01767	HG01767	1
HG01768	HG01768	2
HG01770	HG01770	2
HG01771	HG01771	1
HG01773	HG01773	2
HG01775	HG01775	1
HG01776	HG01776	2
HG01777	HG01777	1
HG01779	HG01779	2
HG01781	HG01781	1
HG01783	HG01783	1
HG01784	HG01784	2
HG01785	HG01785	1
HG01786	HG01786	2
HG01789	HG01789	1
HG01790	HG01790	2
HG01791	HG01791	1
HG01794	HG01794	2
HG01795	HG01795	2
HG01796	HG01796	2
HG01797	HG01797	2
HG01798	HG01798	2
HG01799	HG01799	2
HG01800	HG01800	2
HG01801	HG01801	2
HG01802	HG01802	2
HG01804	HG01804	2
HG01805	HG01805	2
HG01806	HG01806	2
HG01807	HG01807	2
HG01808	HG01808	2
HG01809	HG01809	2
HG01810	HG01810	1
HG01811	HG01811	1
HG01812	HG01812	2
HG01813	HG01813	2
HG01815	HG01815	2
HG01816	HG01816	1
HG01817	HG01817	2
HG01840	HG01840	1
HG01841	HG01841	2
HG01842	HG01842	1
HG01843	HG01843	2
HG01844	HG01844	1
HG01845	HG01845	2
HG01846	HG01846	1
HG01847	HG01847	2
HG01848	HG01848	2
HG01849	HG01849	1
HG01850	HG01850	2
HG01851	HG01851	2
HG01852	HG01852	1
HG01853	HG01853	2
HG01855	HG01855	2
HG01857	HG01857	2
